FamilyID	Brapa_v1.3.priTranscripts<1>	Boleracea_capitata_v1.0.priTranscripts<2>	Athaliana_Araport11.priTranscripts<3>	Ahalleri_v2.1.0.priTranscripts<4>	Alyrata_v2.1.priTranscripts<5>	<6>	<7>	<8>	<9>
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
null	0.217438	0.649364	0.207678	0.120601	0.0423128	N/A	0.712341	0.717357	0.578624
